filename,score
Hie2022_MEDI8852UCA_Kd_5_pdb.npz,1.5741757
Hie2022_MEDI8852UCA_Kd_1_pdb.npz,1.5594901
Hie2022_MEDI8852UCA_Kd_13_pdb.npz,1.577766
Hie2022_MEDI8852UCA_Kd_17_pdb.npz,1.6039253
Hie2022_MEDI8852UCA_Kd_2_pdb.npz,1.5955946
Hie2022_MEDI8852UCA_Kd_4_pdb.npz,1.5663164
Hie2022_MEDI8852UCA_Kd_3_pdb.npz,1.5597361
Hie2022_MEDI8852UCA_Kd_6_pdb.npz,1.5937082
Hie2022_MEDI8852UCA_Kd_0_pdb.npz,1.5686703
Hie2022_MEDI8852UCA_Kd_15_pdb.npz,1.5922451
Hie2022_MEDI8852UCA_Kd_8_pdb.npz,1.6053566
Hie2022_MEDI8852UCA_Kd_10_pdb.npz,1.5939635
Hie2022_MEDI8852UCA_Kd_12_pdb.npz,1.5831357
Hie2022_MEDI8852UCA_Kd_16_pdb.npz,1.5916892
Hie2022_MEDI8852UCA_Kd_19_pdb.npz,1.6068274
Hie2022_MEDI8852UCA_Kd_7_pdb.npz,1.6047028
Hie2022_MEDI8852UCA_Kd_14_pdb.npz,1.5870361
Hie2022_MEDI8852UCA_Kd_11_pdb.npz,1.5704048
Hie2022_MEDI8852UCA_Kd_18_pdb.npz,1.5998329
Hie2022_MEDI8852UCA_Kd_9_pdb.npz,1.5581924
