filename,score
Hie2022_MEDI8852_Kd_8_pdb.npz,1.6501628
Hie2022_MEDI8852_Kd_4_pdb.npz,1.6433952
Hie2022_MEDI8852_Kd_0_pdb.npz,1.6460558
Hie2022_MEDI8852_Kd_10_pdb.npz,1.6283422
Hie2022_MEDI8852_Kd_6_pdb.npz,1.6511289
Hie2022_MEDI8852_Kd_1_pdb.npz,1.652557
Hie2022_MEDI8852_Kd_9_pdb.npz,1.643578
Hie2022_MEDI8852_Kd_14_pdb.npz,1.6439492
Hie2022_MEDI8852_Kd_3_pdb.npz,1.6429867
Hie2022_MEDI8852_Kd_7_pdb.npz,1.6501732
Hie2022_MEDI8852_Kd_13_pdb.npz,1.6558567
Hie2022_MEDI8852_Kd_2_pdb.npz,1.6500225
Hie2022_MEDI8852_Kd_5_pdb.npz,1.6408914
Hie2022_MEDI8852_Kd_12_pdb.npz,1.6367313
Hie2022_MEDI8852_Kd_11_pdb.npz,1.6375993
