filename,score
Hie2022_S309_Kd_0_pdb.npz,1.4842939
Hie2022_S309_Kd_12_pdb.npz,1.4773446
Hie2022_S309_Kd_6_pdb.npz,1.4793087
Hie2022_S309_Kd_10_pdb.npz,1.4549807
Hie2022_S309_Kd_5_pdb.npz,1.4879119
Hie2022_S309_Kd_8_pdb.npz,1.4770658
Hie2022_S309_Kd_3_pdb.npz,1.4810095
Hie2022_S309_Kd_7_pdb.npz,1.4729384
Hie2022_S309_Kd_13_pdb.npz,1.466356
Hie2022_S309_Kd_14_pdb.npz,1.4701717
Hie2022_S309_Kd_15_pdb.npz,1.4675223
Hie2022_S309_Kd_18_pdb.npz,1.4332211
Hie2022_S309_Kd_11_pdb.npz,1.4497305
Hie2022_S309_Kd_1_pdb.npz,1.4905355
Hie2022_S309_Kd_17_pdb.npz,1.4371704
Hie2022_S309_Kd_4_pdb.npz,1.4751251
Hie2022_S309_Kd_2_pdb.npz,1.4982693
Hie2022_S309_Kd_16_pdb.npz,1.4450577
Hie2022_S309_Kd_9_pdb.npz,1.4785305
