filename,score
Hie2022_mAb114-mAb114UCA_Kd_36_pdb.npz,1.2807392
Hie2022_mAb114-mAb114UCA_Kd_15_pdb.npz,1.5055664
Hie2022_mAb114-mAb114UCA_Kd_25_pdb.npz,1.3848683
Hie2022_mAb114-mAb114UCA_Kd_34_pdb.npz,1.3415086
Hie2022_mAb114-mAb114UCA_Kd_19_pdb.npz,1.4908366
Hie2022_mAb114-mAb114UCA_Kd_10_pdb.npz,1.6031518
Hie2022_mAb114-mAb114UCA_Kd_6_pdb.npz,1.5923941
Hie2022_mAb114-mAb114UCA_Kd_23_pdb.npz,1.3713403
Hie2022_mAb114-mAb114UCA_Kd_26_pdb.npz,1.3870662
Hie2022_mAb114-mAb114UCA_Kd_21_pdb.npz,1.3694261
Hie2022_mAb114-mAb114UCA_Kd_3_pdb.npz,1.5843809
Hie2022_mAb114-mAb114UCA_Kd_31_pdb.npz,1.3114403
Hie2022_mAb114-mAb114UCA_Kd_0_pdb.npz,1.6087917
Hie2022_mAb114-mAb114UCA_Kd_11_pdb.npz,1.6235484
Hie2022_mAb114-mAb114UCA_Kd_9_pdb.npz,1.5914797
Hie2022_mAb114-mAb114UCA_Kd_24_pdb.npz,1.3979658
Hie2022_mAb114-mAb114UCA_Kd_27_pdb.npz,1.3958505
Hie2022_mAb114-mAb114UCA_Kd_20_pdb.npz,1.3891875
Hie2022_mAb114-mAb114UCA_Kd_32_pdb.npz,1.3733989
Hie2022_mAb114-mAb114UCA_Kd_13_pdb.npz,1.616104
Hie2022_mAb114-mAb114UCA_Kd_16_pdb.npz,1.5628186
Hie2022_mAb114-mAb114UCA_Kd_18_pdb.npz,1.5423402
Hie2022_mAb114-mAb114UCA_Kd_5_pdb.npz,1.5902691
Hie2022_mAb114-mAb114UCA_Kd_7_pdb.npz,1.5911264
Hie2022_mAb114-mAb114UCA_Kd_22_pdb.npz,1.3822117
Hie2022_mAb114-mAb114UCA_Kd_35_pdb.npz,1.329504
Hie2022_mAb114-mAb114UCA_Kd_17_pdb.npz,1.533922
Hie2022_mAb114-mAb114UCA_Kd_14_pdb.npz,1.5317031
Hie2022_mAb114-mAb114UCA_Kd_2_pdb.npz,1.5815023
Hie2022_mAb114-mAb114UCA_Kd_30_pdb.npz,1.3861086
Hie2022_mAb114-mAb114UCA_Kd_1_pdb.npz,1.6060668
Hie2022_mAb114-mAb114UCA_Kd_29_pdb.npz,1.3754383
Hie2022_mAb114-mAb114UCA_Kd_12_pdb.npz,1.6077055
Hie2022_mAb114-mAb114UCA_Kd_33_pdb.npz,1.3633412
Hie2022_mAb114-mAb114UCA_Kd_28_pdb.npz,1.3679334
Hie2022_mAb114-mAb114UCA_Kd_8_pdb.npz,1.5971102
Hie2022_mAb114-mAb114UCA_Kd_4_pdb.npz,1.5944495
