filename,score
Koenig2017_g6_Kd_3187_pdb.npz,1.3150022
Koenig2017_g6_Kd_3997_pdb.npz,1.3188359
Koenig2017_g6_Kd_2652_pdb.npz,1.3052914
Koenig2017_g6_Kd_990_pdb.npz,1.3082714
Koenig2017_g6_Kd_818_pdb.npz,1.3380574
Koenig2017_g6_Kd_2724_pdb.npz,1.3491306
Koenig2017_g6_Kd_2150_pdb.npz,1.3221532
Koenig2017_g6_Kd_3174_pdb.npz,1.3291539
Koenig2017_g6_Kd_872_pdb.npz,1.3382012
Koenig2017_g6_Kd_3542_pdb.npz,1.3227134
Koenig2017_g6_Kd_1610_pdb.npz,1.333843
Koenig2017_g6_Kd_2037_pdb.npz,1.3068478
Koenig2017_g6_Kd_3061_pdb.npz,1.3532697
Koenig2017_g6_Kd_3882_pdb.npz,1.3326106
Koenig2017_g6_Kd_2946_pdb.npz,1.3409557
Koenig2017_g6_Kd_196_pdb.npz,1.3258076
Koenig2017_g6_Kd_1688_pdb.npz,1.3501369
Koenig2017_g6_Kd_3160_pdb.npz,1.3255832
Koenig2017_g6_Kd_3498_pdb.npz,1.3351668
Koenig2017_g6_Kd_539_pdb.npz,1.3422204
Koenig2017_g6_Kd_3740_pdb.npz,1.3189362
Koenig2017_g6_Kd_4185_pdb.npz,1.3212038
Koenig2017_g6_Kd_3595_pdb.npz,1.3233804
Koenig2017_g6_Kd_2366_pdb.npz,1.3440893
Koenig2017_g6_Kd_1830_pdb.npz,1.3363632
Koenig2017_g6_Kd_2193_pdb.npz,1.3339916
Koenig2017_g6_Kd_3598_pdb.npz,1.3298975
Koenig2017_g6_Kd_3886_pdb.npz,1.3521098
Koenig2017_g6_Kd_4188_pdb.npz,1.3095893
Koenig2017_g6_Kd_1508_pdb.npz,1.339927
Koenig2017_g6_Kd_448_pdb.npz,1.3350456
Koenig2017_g6_Kd_726_pdb.npz,1.3208538
Koenig2017_g6_Kd_2734_pdb.npz,1.3459536
Koenig2017_g6_Kd_3722_pdb.npz,1.3324976
Koenig2017_g6_Kd_2338_pdb.npz,1.3656704
Koenig2017_g6_Kd_3856_pdb.npz,1.3357639
Koenig2017_g6_Kd_1181_pdb.npz,1.3381512
Koenig2017_g6_Kd_1773_pdb.npz,1.338867
Koenig2017_g6_Kd_3567_pdb.npz,1.314553
Koenig2017_g6_Kd_1517_pdb.npz,1.3496538
Koenig2017_g6_Kd_2272_pdb.npz,1.3189272
Koenig2017_g6_Kd_3649_pdb.npz,1.3430594
Koenig2017_g6_Kd_1718_pdb.npz,1.3490977
Koenig2017_g6_Kd_3130_pdb.npz,1.3346674
Koenig2017_g6_Kd_3966_pdb.npz,1.3329198
Koenig2017_g6_Kd_1017_pdb.npz,1.3125539
Koenig2017_g6_Kd_1778_pdb.npz,1.342223
Koenig2017_g6_Kd_3114_pdb.npz,1.3602946
Koenig2017_g6_Kd_1056_pdb.npz,1.3119336
Koenig2017_g6_Kd_522_pdb.npz,1.3244386
Koenig2017_g6_Kd_53_pdb.npz,1.341641
Koenig2017_g6_Kd_255_pdb.npz,1.3384333
Koenig2017_g6_Kd_4118_pdb.npz,1.3283114
Koenig2017_g6_Kd_647_pdb.npz,1.3523893
Koenig2017_g6_Kd_1112_pdb.npz,1.3362631
Koenig2017_g6_Kd_4249_pdb.npz,1.328681
Koenig2017_g6_Kd_1901_pdb.npz,1.3099729
Koenig2017_g6_Kd_4063_pdb.npz,1.2986165
Koenig2017_g6_Kd_3081_pdb.npz,1.3121189
Koenig2017_g6_Kd_2936_pdb.npz,1.3233173
Koenig2017_g6_Kd_1826_pdb.npz,1.3527721
Koenig2017_g6_Kd_4098_pdb.npz,1.3387463
Koenig2017_g6_Kd_1516_pdb.npz,1.3233937
Koenig2017_g6_Kd_718_pdb.npz,1.3389715
Koenig2017_g6_Kd_676_pdb.npz,1.3424164
Koenig2017_g6_Kd_3926_pdb.npz,1.358002
Koenig2017_g6_Kd_1822_pdb.npz,1.3315328
Koenig2017_g6_Kd_3240_pdb.npz,1.3165656
Koenig2017_g6_Kd_436_pdb.npz,1.3101948
Koenig2017_g6_Kd_1745_pdb.npz,1.3112015
Koenig2017_g6_Kd_461_pdb.npz,1.3411885
Koenig2017_g6_Kd_1537_pdb.npz,1.3190669
Koenig2017_g6_Kd_3725_pdb.npz,1.3366495
Koenig2017_g6_Kd_3860_pdb.npz,1.3293545
Koenig2017_g6_Kd_979_pdb.npz,1.312102
Koenig2017_g6_Kd_3745_pdb.npz,1.3338679
Koenig2017_g6_Kd_780_pdb.npz,1.352175
Koenig2017_g6_Kd_2169_pdb.npz,1.3341978
Koenig2017_g6_Kd_3917_pdb.npz,1.3167248
Koenig2017_g6_Kd_1402_pdb.npz,1.306896
Koenig2017_g6_Kd_2875_pdb.npz,1.3262362
Koenig2017_g6_Kd_3632_pdb.npz,1.3199975
Koenig2017_g6_Kd_1972_pdb.npz,1.3174646
Koenig2017_g6_Kd_626_pdb.npz,1.3315638
Koenig2017_g6_Kd_4241_pdb.npz,1.3350735
Koenig2017_g6_Kd_1733_pdb.npz,1.3419211
Koenig2017_g6_Kd_2121_pdb.npz,1.347479
Koenig2017_g6_Kd_3351_pdb.npz,1.3449888
Koenig2017_g6_Kd_3021_pdb.npz,1.3381945
Koenig2017_g6_Kd_2882_pdb.npz,1.3158135
Koenig2017_g6_Kd_2419_pdb.npz,1.3288993
Koenig2017_g6_Kd_1952_pdb.npz,1.3042725
Koenig2017_g6_Kd_3679_pdb.npz,1.3245432
Koenig2017_g6_Kd_899_pdb.npz,1.3268106
Koenig2017_g6_Kd_286_pdb.npz,1.3396698
Koenig2017_g6_Kd_947_pdb.npz,1.3175027
Koenig2017_g6_Kd_385_pdb.npz,1.335585
Koenig2017_g6_Kd_610_pdb.npz,1.3506887
Koenig2017_g6_Kd_2939_pdb.npz,1.3210353
Koenig2017_g6_Kd_3025_pdb.npz,1.3374932
Koenig2017_g6_Kd_2096_pdb.npz,1.3206214
Koenig2017_g6_Kd_3380_pdb.npz,1.3312584
Koenig2017_g6_Kd_813_pdb.npz,1.3380361
Koenig2017_g6_Kd_2477_pdb.npz,1.3239113
Koenig2017_g6_Kd_2903_pdb.npz,1.3433267
Koenig2017_g6_Kd_3804_pdb.npz,1.3087227
Koenig2017_g6_Kd_4128_pdb.npz,1.3128129
Koenig2017_g6_Kd_689_pdb.npz,1.3421606
Koenig2017_g6_Kd_2263_pdb.npz,1.3375902
