filename,score
wittrup2017_20_pdb.npz,1.4898115
wittrup2017_35_pdb.npz,1.4255265
wittrup2017_55_pdb.npz,1.3736374
wittrup2017_54_pdb.npz,1.5452468
wittrup2017_85_pdb.npz,1.4625822
wittrup2017_82_pdb.npz,1.3789668
wittrup2017_71_pdb.npz,1.4261984
wittrup2017_88_pdb.npz,1.4869945
wittrup2017_79_pdb.npz,1.404403
wittrup2017_30_pdb.npz,1.355921
wittrup2017_70_pdb.npz,1.4676207
wittrup2017_80_pdb.npz,1.4850533
wittrup2017_136_pdb.npz,1.39476
wittrup2017_5_pdb.npz,1.4783294
wittrup2017_8_pdb.npz,1.4915521
wittrup2017_109_pdb.npz,1.4228966
wittrup2017_78_pdb.npz,1.4416612
wittrup2017_19_pdb.npz,1.488754
wittrup2017_23_pdb.npz,1.5167196
wittrup2017_83_pdb.npz,1.5248971
wittrup2017_131_pdb.npz,1.5234367
wittrup2017_27_pdb.npz,1.3517424
wittrup2017_68_pdb.npz,1.4426183
wittrup2017_121_pdb.npz,1.4266828
wittrup2017_116_pdb.npz,1.3734618
wittrup2017_33_pdb.npz,1.462938
wittrup2017_74_pdb.npz,1.4198126
wittrup2017_97_pdb.npz,1.4480505
wittrup2017_122_pdb.npz,1.4519655
wittrup2017_21_pdb.npz,1.3102901
wittrup2017_14_pdb.npz,1.453012
wittrup2017_15_pdb.npz,1.4258294
wittrup2017_18_pdb.npz,1.405739
wittrup2017_45_pdb.npz,1.4855894
wittrup2017_107_pdb.npz,1.3593547
wittrup2017_92_pdb.npz,1.492522
wittrup2017_49_pdb.npz,1.3970811
wittrup2017_99_pdb.npz,1.4515544
wittrup2017_50_pdb.npz,1.4554698
wittrup2017_2_pdb.npz,1.3587738
wittrup2017_133_pdb.npz,1.4598786
wittrup2017_40_pdb.npz,1.3699539
wittrup2017_41_pdb.npz,1.47473
wittrup2017_86_pdb.npz,1.3297936
wittrup2017_111_pdb.npz,1.4126331
wittrup2017_90_pdb.npz,1.2580652
wittrup2017_125_pdb.npz,1.3894523
wittrup2017_13_pdb.npz,1.3102596
wittrup2017_114_pdb.npz,1.4479728
wittrup2017_128_pdb.npz,1.2248064
wittrup2017_119_pdb.npz,1.4012955
wittrup2017_43_pdb.npz,1.3189911
wittrup2017_56_pdb.npz,1.3883364
wittrup2017_130_pdb.npz,1.5640314
wittrup2017_91_pdb.npz,1.3885878
wittrup2017_112_pdb.npz,1.350138
wittrup2017_1_pdb.npz,1.4727004
wittrup2017_120_pdb.npz,1.4838487
wittrup2017_115_pdb.npz,1.2602565
wittrup2017_100_pdb.npz,1.4595882
wittrup2017_102_pdb.npz,1.3725079
wittrup2017_7_pdb.npz,1.3865876
wittrup2017_117_pdb.npz,1.4395758
wittrup2017_26_pdb.npz,1.301121
wittrup2017_39_pdb.npz,1.2634919
wittrup2017_75_pdb.npz,1.4191608
wittrup2017_44_pdb.npz,1.3723967
wittrup2017_31_pdb.npz,1.3842958
wittrup2017_65_pdb.npz,1.5784981
wittrup2017_4_pdb.npz,1.3604797
wittrup2017_66_pdb.npz,1.4239539
wittrup2017_95_pdb.npz,1.4366746
wittrup2017_123_pdb.npz,1.2475234
wittrup2017_10_pdb.npz,1.5497042
wittrup2017_57_pdb.npz,1.4620439
wittrup2017_72_pdb.npz,1.3489141
wittrup2017_46_pdb.npz,1.5474657
wittrup2017_113_pdb.npz,1.3908157
wittrup2017_103_pdb.npz,1.351675
wittrup2017_108_pdb.npz,1.3208243
wittrup2017_110_pdb.npz,1.4769986
wittrup2017_11_pdb.npz,1.4492403
wittrup2017_101_pdb.npz,1.33736
wittrup2017_62_pdb.npz,1.3785031
wittrup2017_25_pdb.npz,1.413754
wittrup2017_73_pdb.npz,1.5050832
wittrup2017_69_pdb.npz,1.4109222
wittrup2017_36_pdb.npz,1.4476388
wittrup2017_58_pdb.npz,1.41693
wittrup2017_37_pdb.npz,1.3641124
wittrup2017_52_pdb.npz,1.4292053
wittrup2017_9_pdb.npz,1.5116658
wittrup2017_135_pdb.npz,1.3643951
wittrup2017_106_pdb.npz,1.3318752
wittrup2017_129_pdb.npz,1.4030422
wittrup2017_77_pdb.npz,1.4216069
wittrup2017_34_pdb.npz,1.3407459
wittrup2017_87_pdb.npz,1.3866057
wittrup2017_124_pdb.npz,1.3346117
wittrup2017_127_pdb.npz,1.4529551
wittrup2017_84_pdb.npz,1.4094452
wittrup2017_104_pdb.npz,1.5541036
wittrup2017_63_pdb.npz,1.4150531
wittrup2017_51_pdb.npz,1.4385719
wittrup2017_93_pdb.npz,1.465656
wittrup2017_64_pdb.npz,1.3859003
wittrup2017_132_pdb.npz,1.4222378
wittrup2017_22_pdb.npz,1.6345227
wittrup2017_98_pdb.npz,1.4125283
wittrup2017_89_pdb.npz,1.3154441
wittrup2017_96_pdb.npz,1.4728377
wittrup2017_76_pdb.npz,1.4863123
wittrup2017_38_pdb.npz,1.5038749
wittrup2017_60_pdb.npz,1.4702171
wittrup2017_29_pdb.npz,1.4368724
wittrup2017_6_pdb.npz,1.2123744
wittrup2017_3_pdb.npz,1.4773831
wittrup2017_16_pdb.npz,1.3598273
wittrup2017_17_pdb.npz,1.3496305
wittrup2017_67_pdb.npz,1.3847266
wittrup2017_28_pdb.npz,1.2783991
wittrup2017_47_pdb.npz,1.3609768
wittrup2017_105_pdb.npz,1.2801008
wittrup2017_32_pdb.npz,1.5242698
wittrup2017_118_pdb.npz,1.4450762
wittrup2017_94_pdb.npz,1.3660927
wittrup2017_12_pdb.npz,1.3772161
wittrup2017_42_pdb.npz,1.4732549
wittrup2017_81_pdb.npz,1.4280981
wittrup2017_53_pdb.npz,1.3039056
wittrup2017_59_pdb.npz,1.4890949
wittrup2017_0_pdb.npz,1.3691655
wittrup2017_61_pdb.npz,1.4148092
wittrup2017_24_pdb.npz,1.3816566
wittrup2017_48_pdb.npz,1.4362175
wittrup2017_126_pdb.npz,1.303452
wittrup2017_134_pdb.npz,1.4297885
